task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	ae/7f7fa1	1aa397a8-2920-4ac3-831d-bb75c730bb6d	FASTQC (5)	COMPLETED	0	2025-07-30 22:44:11.343	3m 18s	26.6s	108.0%	283.8 MB	3.4 GB	213.9 MB	2.3 MB
7	8a/b72aa2	5f61121b-89bf-4166-8cca-88d3395ad3b0	TRIM_GALORE (5)	COMPLETED	0	2025-07-30 22:44:11.361	3m 28s	42.5s	426.9%	313.1 MB	3.4 GB	3.8 GB	3.6 GB
9	d1/bf98f6	1e78a122-a360-42f3-8732-0d0818da2ed4	FASTQC (4)	COMPLETED	0	2025-07-30 22:44:11.339	5m 38s	2m 11s	97.2%	188.1 MB	3.3 GB	1.3 GB	2.1 MB
6	e2/0f4d77	feecc9d4-3e82-4cb2-a36d-4125b6aa9e96	TRIM_GALORE (4)	COMPLETED	0	2025-07-30 22:44:11.355	7m 8s	4m 14s	472.7%	364.2 MB	3.4 GB	22.8 GB	21.4 GB
12	55/d3a5d4	aead5e3f-10ad-4364-96e8-be74ba372823	FASTQC (7)	COMPLETED	0	2025-07-30 22:44:11.356	7m 28s	4m 18s	100.6%	242.8 MB	3.3 GB	2.4 GB	2.1 MB
15	01/c24894	8a0d61fb-e7b6-4ffc-9eab-485fad0c1b6d	FASTQC (8)	COMPLETED	0	2025-07-30 22:44:11.341	7m 58s	4m 32s	100.2%	207.3 MB	3.2 GB	2.5 GB	2.2 MB
21	4b/29982b	036e9ef4-caf1-4356-9d47-0b0f4d6a78ca	KALLISTO_QUAN (1)	COMPLETED	0	2025-07-30 22:47:41.072	4m 28s	1m 30s	279.1%	1.6 GB	1.8 GB	564.6 MB	9.4 MB
17	1f/b33ed2	21ebe296-1c8a-4457-96b7-49a953d48972	FASTQC (9)	COMPLETED	0	2025-07-30 22:44:11.391	8m 28s	4m 50s	101.1%	237.2 MB	3.3 GB	2.6 GB	2.2 MB
5	d8/ea82d5	6e5f131e-a9e1-4694-a470-bc4dcb619422	FASTQC (2)	COMPLETED	0	2025-07-30 22:44:11.406	9m 28s	5m 45s	100.1%	196.1 MB	3.3 GB	3.5 GB	2.2 MB
8	4b/e30a39	c3e25ffc-11cf-4d56-90bd-35a0320a931b	FASTQC (3)	COMPLETED	0	2025-07-30 22:44:11.328	9m 48s	6m 25s	99.0%	224.8 MB	3.3 GB	3.7 GB	2.2 MB
11	80/abe68c	9b4ba6d3-0ac4-4c2e-9b47-5f9de9a8c3fa	FASTQC (6)	COMPLETED	0	2025-07-30 22:44:11.379	9m 48s	6m 17s	100.5%	221.2 MB	3.3 GB	3.5 GB	2.2 MB
2	13/5505b1	e5bd7d82-9c26-46f0-9690-3f717cc4abf2	FASTQC (1)	COMPLETED	0	2025-07-30 22:44:11.381	9m 48s	6m 12s	100.6%	220 MB	3.3 GB	3.5 GB	2.2 MB
14	f7/a9d1bd	414f48f0-bc0d-462e-a44c-6bb84bf86848	TRIM_GALORE (7)	COMPLETED	0	2025-07-30 22:44:11.283	11m 38s	8m 30s	428.6%	372.1 MB	3.4 GB	49.2 GB	46.8 GB
22	07/77160a	a1ce959d-b38e-4a23-9c6f-53132d8ec948	KALLISTO_QUAN (2)	COMPLETED	0	2025-07-30 22:51:20.804	5m 29s	4m 7s	453.2%	1.6 GB	2 GB	1.6 GB	10.2 MB
16	c7/7027d1	707734df-7a43-4581-951e-739928e7addb	TRIM_GALORE (8)	COMPLETED	0	2025-07-30 22:44:11.384	12m 38s	9m 13s	462.9%	363.2 MB	3.4 GB	52 GB	49.4 GB
19	f7/7cfb36	820dab2e-caf0-4969-98dc-3455368b9a68	FASTQC (10)	COMPLETED	0	2025-07-30 22:44:11.367	12m 48s	8m 50s	100.4%	218.3 MB	3.3 GB	5.4 GB	2.2 MB
18	8c/2c53ad	b7c4d0ee-1299-403e-a8e9-e4924181584e	TRIM_GALORE (9)	COMPLETED	0	2025-07-30 22:44:11.398	12m 48s	9m 23s	465.3%	358.8 MB	3.5 GB	53.4 GB	50.8 GB
3	9f/302942	aa0df737-e0c9-4f1e-946d-c64347013453	TRIM_GALORE (2)	COMPLETED	0	2025-07-30 22:44:11.344	14m 58s	11m 26s	480.0%	369.4 MB	3.4 GB	64.9 GB	61.3 GB
1	20/18e7f9	1a9c5f45-4885-43c0-aab0-caf19e008888	TRIM_GALORE (1)	COMPLETED	0	2025-07-30 22:44:11.356	15m 38s	12m 10s	448.6%	355.3 MB	3.4 GB	68.8 GB	65.3 GB
13	64/d72aca	6c7720d7-9703-4256-9017-d8539a9577ac	TRIM_GALORE (6)	COMPLETED	0	2025-07-30 22:44:11.350	16m 18s	12m 49s	436.7%	365.3 MB	3.4 GB	71.9 GB	68.3 GB
4	2e/95670b	fe24a3f8-bded-4c56-9499-3aca42927b3e	TRIM_GALORE (3)	COMPLETED	0	2025-07-30 22:44:11.402	16m 28s	13m 4s	469.7%	362.5 MB	3.4 GB	72.8 GB	69.1 GB
24	f1/ad709f	e2e5c382-b680-4839-acd0-a095a1a47317	KALLISTO_QUAN (4)	COMPLETED	0	2025-07-30 22:56:51.172	8m 8s	7m 27s	573.6%	1.6 GB	1.9 GB	2.9 GB	10.4 MB
23	68/55eedc	23d65bf9-0fb3-46eb-a833-1eb6a48352d3	KALLISTO_QUAN (3)	COMPLETED	0	2025-07-30 22:55:51.058	9m 8s	8m 23s	510.2%	1.6 GB	1.9 GB	2.7 GB	10.4 MB
20	fb/718ace	3af5feff-7ebe-4d04-9030-db4d08e5e22c	TRIM_GALORE (10)	COMPLETED	0	2025-07-30 22:44:11.433	22m 48s	18m 54s	471.4%	377.9 MB	3.4 GB	101.8 GB	96.3 GB
25	e9/f4edf4	c626070e-0ab2-4ff3-8a90-18d4d83c348e	KALLISTO_QUAN (5)	COMPLETED	0	2025-07-30 22:57:01.062	10m 39s	7m 41s	576.5%	1.6 GB	2 GB	3 GB	10.5 MB
26	cf/d7aa48	3fdd629f-3116-4022-8145-dd4ae3415484	KALLISTO_QUAN (6)	COMPLETED	0	2025-07-30 22:59:10.980	12m 29s	9m 28s	530.3%	1.6 GB	2 GB	3.9 GB	10.4 MB
28	df/256db4	21b8ad3b-ddb6-4d1b-8654-51e590993c81	KALLISTO_QUAN (8)	COMPLETED	0	2025-07-30 23:00:30.776	11m 49s	10m 20s	570.7%	1.6 GB	2 GB	3.9 GB	10.5 MB
27	7f/c51a15	1fb87ac5-8553-4036-89f2-fa84aac4f974	KALLISTO_QUAN (7)	COMPLETED	0	2025-07-30 22:59:51.219	13m 8s	8m 49s	590.7%	1.6 GB	1.9 GB	3.8 GB	10.4 MB
